variant,n,threads,pi_estimate,abs_error
serial,2000000,1,3.141592653589994,2.007283228522283e-13
naive_race_trial0,2000000,4,,1.11184146370312
naive_race_trial1,2000000,4,,1.2068809138214025
naive_race_trial2,2000000,4,,1.6015144853306027
critical_section,2000000,4,3.141592653589925,1.318944953254686e-13
reduction,2000000,4,3.1415926535898056,1.2434497875801753e-14
