policy,workers,time_s,imbalance,n_chunks
static,4,0.1091131750000045,1.8882396462058604,4
dynamic(chunk=4),4,0.09209155500001032,3.948477401998689,34
dynamic(chunk=16),4,0.09510160199999973,3.8044493484265063,9
dynamic(chunk=64),4,0.09395796399999767,1.837531576480668,3
guided(chunk=4),4,0.09328790200000014,4.668848567501207,20
